pronoun|verb_id|tense|spanish_sentence|english_sentence
el|1|preterite|_____ una broma|It was a joke
yo|2|preterite|Yo _____ en mi casa|I was in my house
yo|3|preterite|Yo _____ una pregunta|I had a question
yo|4|preterite|Yo _____ la cama|I made the bed
yo|5|preterite|Yo _____ sonreir más|I could smile more
yo|6|preterite|Yo _____ algo chistoso|I said something funny
yo|7|preterite|Yo _____ a la pelicula|I went to the movie
yo|8|preterite|Yo _____ mi amigo|I saw my friend
yo|9|preterite|Yo _____ él 10 pesos|I gave him 10 pesos
yo|10|preterite|Yo _____ Pablo|I knew Pablo
yo|11|preterite|Yo _____ más hijos|I wanted more children
yo|12|preterite|Yo _____ temprano|I arrived early

